semmcdl,oid_,ver,pr,bmp,semmcdr,bpt,fcc,length,ept,emp,regmgfv17_,countyl,fename2,fename3,fename,SHAPE__Length,objectid,countyr
5120,5801894312895,17a,4302484,0,5120,58018943,B11,940.59128413,58018752,0.585,314149,115,NS, ,Norfolk Southern Railway,3087.47832624025,1,115
5010,5801877411565,17a,4302478,0,5010,58018774,B11,55.06236371,58018716,0.034,314391,115,AA, ,Ann Arbor Railroad,180.738399345694,2,115
5010,5801876208914,17a,4302479,0,5010,58018762,B11,309.89838408,58018541,0.193,314274,115,CSX, ,CSX Transportation,1017.21557818402,3,115
5010,5801871611910,17a,4302478,0.034,5010,58018716,B11,352.58875702,58018526,0.253,314005,115,AA, ,Ann Arbor Railroad,1157.34737343298,4,115
5010,5801854108884,17a,4302479,0.193,5010,58018541,B11,190.35434353,58018456,0.311,315458,115,CSX, ,CSX Transportation,624.821533838482,5,115
5010,5801852611848,17a,4302478,0.253,5010,58018526,B11,207.58519291,58018433,0.382,314720,115,AA, ,Ann Arbor Railroad,681.382962349085,6,115
5035,5801871705882,17a,4302481,0,5035,58018717,B11,828.96978592,58018299,0.515,315470,115,NS, ,Norfolk Southern Railway,2721.02566835604,7,115
5120,5801875212874,17a,4302484,0.585,5120,58018752,B11,1031.88024509,58018266,1.226,314620,115,NS, ,Norfolk Southern Railway,3387.12667332338,8,115
5035,5801866409322,17a,4302482,0,5035,58018664,B11,815.99458337,58018153,0.507,314501,115,CN, ,Canadian National Railway,2678.42195486922,9,115
5035,5801829905912,17a,4302481,0.515,5035,58018299,B11,342.79201367,58018129,0.728,315766,115,NS, ,Norfolk Southern Railway,1125.18472742056,10,115
5035,5801815309211,17a,4302482,0.507,5035,58018153,B11,130.80837224,58018108,0.588,314826,115,CN, ,Canadian National Railway,429.364902617588,11,115
5010,5801843311805,17a,4302478,0.382,5010,58018433,B11,665.74305183,58018072,0.796,314374,115,AA, ,Ann Arbor Railroad,2185.25009372334,12,115
5010,5801845608948,17a,4302479,0.311,5010,58018456,B11,877.70717219,58017960,0.856,315352,115,CSX, ,CSX Transportation,2880.99274406982,13,115
5120,5801826612939,17a,4302484,1.226,5120,58018266,B11,919.02017916,58021830,1.797,314958,115,NS, ,Norfolk Southern Railway,3016.65977602885,14,115
5010,5801807211823,17a,4302478,0.796,5010,58018072,B11,891.83015191,58017675,1.35,315324,115,AA, ,Ann Arbor Railroad,2927.3582692672,15,115
